event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-41-60000,1784408565671.8396,1784408566174,1784408572519.0,1784408573253.4844,502.16,6345.0,734.484,1784407912519.0,7581.645
ss-19-60000,1784408570171.869,1784408570375,1784408572538.0,1784408573253.4885,203.131,2163.0,715.489,1784407912538.0,3081.62
ss-7-60000,1784408569071.8657,1784408569324,1784408572538.0,1784408573253.4905,252.134,3214.0,715.49,1784407912538.0,4181.625
ss-54-60000,1784408566771.8328,1784408567225,1784408572538.0,1784408573253.4917,453.167,5313.0,715.492,1784407912538.0,6481.659
ss-24-60000,1784408568421.8433,1784408569324,1784408572539.0,1784408573253.4927,902.157,3215.0,714.493,1784407912539.0,4831.649
ss-39-60000,1784408569571.8433,1784408570375,1784408572539.0,1784408573253.5173,803.157,2164.0,714.517,1784407912539.0,3681.674
ss-12-60000,1784408554971.8586,1784408555674,1784408572539.0,1784408573253.523,702.141,16865.0,714.523,1784407912539.0,18281.664
ss-2-60000,1784408569621.8823,1784408570375,1784408572539.0,1784408573253.5283,753.118,2164.0,714.528,1784407912539.0,3631.646
ss-21-60000,1784408567471.838,1784408568274,1784408572539.0,1784408573253.5476,802.162,4265.0,714.548,1784407912539.0,5781.71
ss-72-60000,1784408570671.8691,1784408571424,1784408572539.0,1784408573253.5488,752.131,1115.0,714.549,1784407912539.0,2581.68
ss-14-60000,1784408571021.8318,1784408571424,1784408572539.0,1784408573253.5496,402.168,1115.0,714.55,1784407912539.0,2231.718
ss-91-60000,1784408570771.8813,1784408571424,1784408572539.0,1784408573253.5503,652.119,1115.0,714.55,1784407912539.0,2481.669
ss-98-60000,1784408563221.8657,1784408564075,1784408572539.0,1784408573253.551,853.134,8464.0,714.551,1784407912539.0,10031.685
ss-16-60000,1784408570821.8423,1784408571424,1784408572539.0,1784408573253.5518,602.158,1115.0,714.552,1784407912539.0,2431.709
ss-28-60000,1784408571271.8687,1784408571424,1784408572539.0,1784408573253.5525,152.131,1115.0,714.552,1784407912539.0,1981.684
ss-79-60000,1784408555721.8223,1784408556725,1784408572540.0,1784408573253.553,1003.178,15815.0,713.553,1784407912540.0,17531.731
ss-31-60000,1784408569421.8748,1784408570375,1784408572540.0,1784408573253.5576,953.125,2165.0,713.558,1784407912540.0,3831.683
ss-50-60000,1784408569921.8523,1784408570375,1784408572540.0,1784408573253.5583,453.148,2165.0,713.558,1784407912540.0,3331.706
ss-63-60000,1784408568171.8506,1784408568274,1784408572540.0,1784408573253.5588,102.149,4266.0,713.559,1784407912540.0,5081.708
ss-51-60000,1784408569471.872,1784408570375,1784408572540.0,1784408573253.5596,903.128,2165.0,713.56,1784407912540.0,3781.688
ss-99-60000,1784408556071.857,1784408556725,1784408572540.0,1784408573253.56,653.143,15815.0,713.56,1784407912540.0,17181.703
ss-35-60000,1784408569121.8616,1784408569324,1784408572540.0,1784408573253.5605,202.138,3216.0,713.561,1784407912540.0,4131.699
ss-70-60000,1784408570521.831,1784408571424,1784408572540.0,1784408573253.561,902.169,1116.0,713.561,1784407912540.0,2731.73
ss-90-60000,1784408569721.841,1784408570375,1784408572540.0,1784408573253.5618,653.159,2165.0,713.562,1784407912540.0,3531.721
ss-9-60000,1784408571071.8635,1784408571424,1784408572540.0,1784408573253.5625,352.136,1116.0,713.562,1784407912540.0,2181.699
ss-64-60000,1784408568121.8406,1784408568274,1784408572540.0,1784408573253.5637,152.159,4266.0,713.564,1784407912540.0,5131.723
ss-80-60000,1784408564921.8528,1784408565124,1784408572540.0,1784408573253.5715,202.147,7416.0,713.572,1784407912540.0,8331.719
ss-59-60000,1784408570021.83,1784408570375,1784408572540.0,1784408573253.572,353.17,2165.0,713.572,1784407912540.0,3231.742
ss-45-60000,1784408559921.8345,1784408560925,1784408572541.0,1784408573253.5728,1003.166,11616.0,712.573,1784407912541.0,13331.738
ss-48-60000,1784408568971.8591,1784408569324,1784408572541.0,1784408573253.5938,352.141,3217.0,712.594,1784407912541.0,4281.735
ss-58-60000,1784408570471.8718,1784408571424,1784408572541.0,1784408573253.5947,952.128,1117.0,712.595,1784407912541.0,2781.723
ss-29-60000,1784408561821.8447,1784408561974,1784408572541.0,1784408573253.6248,152.155,10567.0,712.625,1784407912541.0,11431.78
ss-84-60000,1784408566421.8538,1784408567225,1784408572541.0,1784408573253.6301,803.146,5316.0,712.63,1784407912541.0,6831.776
ss-74-60000,1784408571171.8657,1784408571424,1784408572541.0,1784408573253.631,252.134,1117.0,712.631,1784407912541.0,2081.765
ss-38-60000,1784408571421.8438,1784408571424,1784408572541.0,1784408573253.6414,2.156,1117.0,712.641,1784407912541.0,1831.798
ss-1-60000,1784408571371.8533,1784408571424,1784408572541.0,1784408573253.751,52.147,1117.0,712.751,1784407912541.0,1881.898
ss-23-60000,1784408552621.8547,1784408553575,1784408572541.0,1784408573253.7532,953.145,18966.0,712.753,1784407912541.0,20631.898
ss-75-60000,1784408569821.8428,1784408570375,1784408572541.0,1784408573253.7651,553.157,2166.0,712.765,1784407912541.0,3431.922
ss-33-60000,1784408568671.8394,1784408569324,1784408572541.0,1784408573253.7664,652.161,3217.0,712.766,1784407912541.0,4581.927
ss-4-60000,1784408570721.844,1784408571424,1784408572542.0,1784408573253.767,702.156,1118.0,711.767,1784407912542.0,2531.923
ss-6-60000,1784408567371.851,1784408568274,1784408572542.0,1784408573253.7676,902.149,4268.0,711.768,1784407912542.0,5881.917
ss-0-60000,1784408569871.8977,1784408570375,1784408572542.0,1784408573253.7688,503.102,2167.0,711.769,1784407912542.0,3381.871
ss-10-60000,1784408567071.8376,1784408567225,1784408572542.0,1784408573253.7695,153.162,5317.0,711.77,1784407912542.0,6181.932
ss-47-60000,1784408566721.8428,1784408567225,1784408572542.0,1784408573253.77,503.157,5317.0,711.77,1784407912542.0,6531.927
ss-65-60000,1784408566621.845,1784408567225,1784408572542.0,1784408573253.7705,603.155,5317.0,711.771,1784407912542.0,6631.926
ss-71-60000,1784408554071.8665,1784408554624,1784408572542.0,1784408573253.771,552.134,17918.0,711.771,1784407912542.0,19181.905
ss-43-60000,1784408569021.8677,1784408569324,1784408572542.0,1784408573253.7717,302.132,3218.0,711.772,1784407912542.0,4231.904
ss-86-60000,1784408563921.8496,1784408564075,1784408572542.0,1784408573253.7761,153.15,8467.0,711.776,1784407912542.0,9331.927
ss-61-60000,1784408567871.8486,1784408568274,1784408572542.0,1784408573253.7766,402.151,4268.0,711.777,1784407912542.0,5381.928
ss-57-60000,1784408570071.865,1784408570375,1784408572543.0,1784408573253.777,303.135,2168.0,710.777,1784407912543.0,3181.912
ss-26-60000,1784408567021.8313,1784408567225,1784408572543.0,1784408573253.8235,203.169,5318.0,710.823,1784407912543.0,6231.992
ss-83-60000,1784408567721.8372,1784408568274,1784408572543.0,1784408573253.824,552.163,4269.0,710.824,1784407912543.0,5531.987
ss-68-60000,1784408562521.8318,1784408563024,1784408572543.0,1784408573253.8325,502.168,9519.0,710.833,1784407912543.0,10732.001
ss-55-60000,1784408545771.835,1784408546224,1784408572543.0,1784408573253.8335,452.165,26319.0,710.833,1784407912543.0,27481.999
ss-77-60000,1784408564871.838,1784408565124,1784408572543.0,1784408573253.834,252.162,7419.0,710.834,1784407912543.0,8381.996
ss-20-60000,1784408559571.8438,1784408559875,1784408572543.0,1784408573253.8345,303.156,12668.0,710.834,1784407912543.0,13681.991
ss-3-60000,1784408566821.8337,1784408567225,1784408572543.0,1784408573253.8418,403.166,5318.0,710.842,1784407912543.0,6432.008
ss-81-60000,1784408570921.8408,1784408571424,1784408572543.0,1784408573253.8423,502.159,1119.0,710.842,1784407912543.0,2332.001
ss-17-60000,1784408568371.8472,1784408569324,1784408572543.0,1784408573253.8696,952.153,3219.0,710.87,1784407912543.0,4882.022
ss-15-60000,1784408567971.8362,1784408568274,1784408572544.0,1784408573253.87,302.164,4270.0,709.87,1784407912544.0,5282.034
ss-44-60000,1784408565521.8325,1784408566174,1784408572544.0,1784408573253.874,652.167,6370.0,709.874,1784407912544.0,7732.042
ss-18-60000,1784408565471.8362,1784408566174,1784408572544.0,1784408573253.928,702.164,6370.0,709.928,1784407912544.0,7782.092
ss-96-60000,1784408567221.8582,1784408567225,1784408572544.0,1784408573253.932,3.142,5319.0,709.932,1784407912544.0,6032.074
ss-95-60000,1784408563521.8547,1784408564075,1784408572544.0,1784408573254.0305,553.145,8469.0,710.031,1784407912544.0,9732.176
ss-94-60000,1784408567671.8406,1784408568274,1784408572544.0,1784408573254.032,602.159,4270.0,710.032,1784407912544.0,5582.191
ss-8-60000,1784408566021.8752,1784408566174,1784408572544.0,1784408573254.0325,152.125,6370.0,710.032,1784407912544.0,7232.157
ss-53-60000,1784408567521.835,1784408568274,1784408572544.0,1784408573254.0388,752.165,4270.0,710.039,1784407912544.0,5732.204
ss-62-60000,1784408565321.8428,1784408566174,1784408572544.0,1784408573254.0393,852.157,6370.0,710.039,1784407912544.0,7932.197
ss-66-60000,1784408570221.8496,1784408570375,1784408572544.0,1784408573254.0461,153.15,2169.0,710.046,1784407912544.0,3032.197
ss-5-60000,1784408570571.867,1784408571424,1784408572544.0,1784408573254.0466,852.133,1120.0,710.047,1784407912544.0,2682.18
ss-67-60000,1784408571121.871,1784408571424,1784408572544.0,1784408573254.049,302.129,1120.0,710.049,1784407912544.0,2132.178
ss-82-60000,1784408570371.861,1784408570375,1784408572545.0,1784408573254.0493,3.139,2170.0,709.049,1784407912545.0,2882.188
ss-69-60000,1784408558471.8303,1784408558825,1784408572545.0,1784408573254.0498,353.17,13720.0,709.05,1784407912545.0,14782.219
ss-42-60000,1784408568271.8337,1784408568274,1784408572545.0,1784408573254.0525,2.166,4271.0,709.052,1784407912545.0,4982.219
ss-85-60000,1784408567921.8413,1784408568274,1784408572545.0,1784408573254.0735,352.159,4271.0,709.073,1784407912545.0,5332.232
ss-30-60000,1784408568621.8481,1784408569324,1784408572545.0,1784408573254.0884,702.152,3221.0,709.088,1784407912545.0,4632.24
ss-92-60000,1784408570321.8547,1784408570375,1784408572545.0,1784408573254.173,53.145,2170.0,709.173,1784407912545.0,2932.318
ss-46-60000,1784408569171.8699,1784408569324,1784408572545.0,1784408573254.1753,152.13,3221.0,709.175,1784407912545.0,4082.305
ss-73-60000,1784408544871.833,1784408545175,1784408572545.0,1784408573254.1765,303.167,27370.0,709.177,1784407912545.0,28382.344
ss-97-60000,1784408570421.842,1784408571424,1784408572545.0,1784408573254.1772,1002.158,1121.0,709.177,1784407912545.0,2832.335
ss-25-60000,1784408565821.8572,1784408566174,1784408572545.0,1784408573254.1829,352.143,6371.0,709.183,1784407912545.0,7432.326
ss-78-60000,1784408563271.8784,1784408564075,1784408572545.0,1784408573254.183,803.122,8470.0,709.183,1784407912545.0,9982.305
ss-40-60000,1784408565571.8523,1784408566174,1784408572545.0,1784408573254.2317,602.148,6371.0,709.232,1784407912545.0,7682.379
ss-49-60000,1784408571221.859,1784408571424,1784408572545.0,1784408573254.2327,202.141,1121.0,709.233,1784407912545.0,2032.374
ss-88-60000,1784408563871.8582,1784408564075,1784408572546.0,1784408573254.2388,203.142,8471.0,708.239,1784407912546.0,9382.381
ss-22-60000,1784408557871.8567,1784408558825,1784408572546.0,1784408573254.3186,953.143,13721.0,708.319,1784407912546.0,15382.462
ss-27-60000,1784408569321.857,1784408569324,1784408572546.0,1784408573254.3198,2.143,3222.0,708.32,1784407912546.0,3932.463
ss-32-60000,1784408570871.8586,1784408571424,1784408572546.0,1784408573254.3206,552.141,1122.0,708.321,1784407912546.0,2382.462
ss-11-60000,1784408568571.8303,1784408569324,1784408572546.0,1784408573254.3213,752.17,3222.0,708.321,1784407912546.0,4682.491
ss-87-60000,1784408570271.8674,1784408570375,1784408572546.0,1784408573254.3318,103.133,2171.0,708.332,1784407912546.0,2982.464
ss-76-60000,1784408571321.8625,1784408571424,1784408572546.0,1784408573254.3926,102.137,1122.0,708.393,1784407912546.0,1932.53
ss-37-60000,1784408564371.843,1784408565124,1784408572546.0,1784408573254.3936,752.157,7422.0,708.394,1784407912546.0,8882.551
ss-56-60000,1784408555571.8398,1784408555674,1784408572546.0,1784408573254.3945,102.16,16872.0,708.395,1784407912546.0,17682.555
ss-34-60000,1784408569371.865,1784408570375,1784408572546.0,1784408573254.396,1003.135,2171.0,708.396,1784407912546.0,3882.531
