kafka-streams-identity-1  | SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
kafka-streams-identity-1             | SLF4J: Defaulting to no-operation (NOP) logger implementation
kafka-streams-identity-1             | SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
stream-state-bench-kstreams-kafka-3  | ===> User
stream-state-bench-kstreams-kafka-3  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
stream-state-bench-kstreams-kafka-3  | ===> Setting default values of environment variables if not already set.
stream-state-bench-kstreams-kafka-3  | ===> Configuring ...
stream-state-bench-kstreams-kafka-3  | Running in KRaft mode...
stream-state-bench-kstreams-kafka-3  | ===> Launching ... 
stream-state-bench-kstreams-kafka-3  | ===> Using provided cluster id MkU3OEVBNTcwNTJENDM2Qk ...
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,745] INFO Registered `kafka:type=kafka.Log4jController` MBean (kafka.utils.Log4jControllerRegistration$)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,848] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,850] INFO [ControllerServer id=3] Starting controller (kafka.server.ControllerServer)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,948] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,965] INFO [SocketServer listenerType=CONTROLLER, nodeId=3] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,970] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:09,971] INFO [SharedServer id=3] Starting SharedServer (kafka.server.SharedServer)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:10,023] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:10,024] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:10,024] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:10,029] INFO [RaftLog partition=__cluster_metadata-0] Initialized snapshots with IDs [] from /tmp/kafka-logs/__cluster_metadata-0 (org.apache.kafka.raft.internals.KafkaRaftLog)
stream-state-bench-kstreams-kafka-3  | [2026-07-18 20:37:10,033] INFO [raft-expiration-reaper]: Starting (org.apache.kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
