event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784584849951.3015,1784584850902,1784584856465.0,1784584858006.5913,950.698,5563.0,1541.591,1784584796465.0,8055.29
tc-19-0,1784584854451.2932,1784584855104,1784584856481.0,1784584858006.5955,652.707,1377.0,1525.595,1784584796481.0,3555.302
tc-9-0,1784584855351.2942,1784584856153,1784584856481.0,1784584858006.5967,801.706,328.0,1525.597,1784584796481.0,2655.302
tc-64-0,1784584852401.2925,1784584853003,1784584856482.0,1784584858006.598,601.708,3479.0,1524.598,1784584796482.0,5605.305
tc-80-0,1784584849201.2964,1784584849853,1784584856482.0,1784584858006.5986,651.704,6629.0,1524.599,1784584796482.0,8805.302
tc-59-0,1784584854301.2976,1784584855104,1784584856483.0,1784584858006.5994,802.702,1379.0,1523.599,1784584796483.0,3705.302
tc-45-0,1784584844201.291,1784584846719,1784584856483.0,1784584858006.5999,2517.709,9764.0,1523.6,1784584796483.0,13805.309
tc-48-0,1784584853251.301,1784584854053,1784584856483.0,1784584858006.6047,801.699,2430.0,1523.605,1784584796483.0,4755.304
tc-58-0,1784584854751.2979,1784584855104,1784584856483.0,1784584858006.6055,352.702,1379.0,1523.605,1784584796483.0,3255.308
tc-29-0,1784584846101.2993,1784584846719,1784584856483.0,1784584858006.6064,617.701,9764.0,1523.606,1784584796483.0,11905.307
tc-52-0,1784584853151.2937,1784584854053,1784584856483.0,1784584858006.607,901.706,2430.0,1523.607,1784584796483.0,4855.313
tc-36-0,1784584851851.294,1784584851953,1784584856483.0,1784584858006.6113,101.706,4530.0,1523.611,1784584796483.0,6155.317
tc-60-0,1784584854051.2954,1784584854053,1784584856483.0,1784584858006.6116,1.705,2430.0,1523.612,1784584796483.0,3955.316
tc-56-0,1784584839851.2932,1784584846719,1784584856484.0,1784584858006.612,6867.707,9765.0,1522.612,1784584796484.0,18155.319
tc-37-0,1784584848651.2969,1784584848804,1784584856484.0,1784584858006.6128,152.703,7680.0,1522.613,1784584796484.0,9355.316
tc-32-0,1784584855151.2896,1784584856153,1784584856484.0,1784584858006.613,1001.71,331.0,1522.613,1784584796484.0,2855.323
tc-27-0,1784584853601.286,1784584854053,1784584856484.0,1784584858006.6135,451.714,2431.0,1522.614,1784584796484.0,4405.328
tc-22-0,1784584842151.2942,1784584846719,1784584856484.0,1784584858006.614,4567.706,9765.0,1522.614,1784584796484.0,15855.32
tc-49-0,1784584855501.2913,1784584856153,1784584856484.0,1784584858006.6143,651.709,331.0,1522.614,1784584796484.0,2505.323
tc-78-0,1784584847551.2986,1784584847752,1784584856484.0,1784584858006.6147,200.701,8732.0,1522.615,1784584796484.0,10455.316
tc-25-0,1784584850101.2957,1784584850902,1784584856484.0,1784584858006.615,800.704,5582.0,1522.615,1784584796484.0,7905.319
tc-92-0,1784584854601.3013,1784584855104,1784584856485.0,1784584858006.6155,502.699,1381.0,1521.615,1784584796485.0,3405.314
tc-30-0,1784584852901.2952,1784584853003,1784584856485.0,1784584858006.6157,101.705,3482.0,1521.616,1784584796485.0,5105.321
tc-42-0,1784584852551.2947,1784584853003,1784584856485.0,1784584858006.616,451.705,3482.0,1521.616,1784584796485.0,5455.321
tc-82-0,1784584854651.2922,1784584855104,1784584856485.0,1784584858006.6165,452.708,1381.0,1521.616,1784584796485.0,3355.324
tc-67-0,1784584855401.2932,1784584856153,1784584856485.0,1784584858006.6177,751.707,332.0,1521.618,1784584796485.0,2605.324
tc-66-0,1784584854501.3064,1784584855104,1784584856485.0,1784584858006.618,602.694,1381.0,1521.618,1784584796485.0,3505.312
tc-94-0,1784584851951.297,1784584851953,1784584856485.0,1784584858006.6184,1.703,4532.0,1521.618,1784584796485.0,6055.321
tc-95-0,1784584847801.2974,1784584848804,1784584856486.0,1784584858006.619,1002.703,7682.0,1520.619,1784584796486.0,10205.322
tc-18-0,1784584849751.3018,1784584849853,1784584856486.0,1784584858006.6216,101.698,6633.0,1520.622,1784584796486.0,8255.32
tc-44-0,1784584849801.2498,1784584849853,1784584856486.0,1784584858006.6218,51.75,6633.0,1520.622,1784584796486.0,8205.372
tc-81-0,1784584855201.294,1784584856153,1784584856486.0,1784584858006.6223,951.706,333.0,1520.622,1784584796486.0,2805.328
tc-3-0,1784584851101.296,1784584851953,1784584856486.0,1784584858006.6226,851.704,4533.0,1520.623,1784584796486.0,6905.327
tc-20-0,1784584843851.2969,1784584846719,1784584856486.0,1784584858006.6255,2867.703,9767.0,1520.625,1784584796486.0,14155.329
tc-26-0,1784584851301.2937,1784584851953,1784584856486.0,1784584858006.626,651.706,4533.0,1520.626,1784584796486.0,6705.332
tc-61-0,1784584852151.2876,1784584853003,1784584856486.0,1784584858006.6265,851.712,3483.0,1520.626,1784584796486.0,5855.339
tc-86-0,1784584848201.294,1784584848804,1784584856487.0,1784584858006.6267,602.706,7683.0,1519.627,1784584796487.0,9805.333
tc-65-0,1784584850901.3005,1784584850902,1784584856487.0,1784584858006.6272,0.699,5585.0,1519.627,1784584796487.0,7105.327
tc-47-0,1784584851001.2993,1784584851953,1784584856487.0,1784584858006.6274,951.701,4534.0,1519.627,1784584796487.0,7005.328
tc-0-0,1784584854151.2964,1784584855104,1784584856487.0,1784584858006.628,952.704,1383.0,1519.628,1784584796487.0,3855.332
tc-33-0,1784584852951.2935,1784584853003,1784584856487.0,1784584858006.6282,51.707,3484.0,1519.628,1784584796487.0,5055.335
tc-84-0,1784584850701.2964,1784584850902,1784584856487.0,1784584858006.6292,200.704,5585.0,1519.629,1784584796487.0,7305.333
tc-74-0,1784584855451.2903,1784584856153,1784584856487.0,1784584858006.6296,701.71,334.0,1519.63,1784584796487.0,2555.339
tc-38-0,1784584855701.2947,1784584856153,1784584856488.0,1784584858006.63,451.705,335.0,1518.63,1784584796488.0,2305.335
tc-1-0,1784584855651.2979,1784584856153,1784584856488.0,1784584858006.6301,501.702,335.0,1518.63,1784584796488.0,2355.332
tc-75-0,1784584854101.2944,1784584855104,1784584856488.0,1784584858006.6306,1002.706,1384.0,1518.631,1784584796488.0,3905.336
tc-23-0,1784584836901.2932,1784584846719,1784584856488.0,1784584858006.6475,9817.707,9769.0,1518.647,1784584796488.0,21105.354
tc-90-0,1784584854001.2927,1784584854053,1784584856488.0,1784584858006.648,51.707,2435.0,1518.648,1784584796488.0,4005.355
tc-70-0,1784584854801.3044,1784584855104,1784584856488.0,1784584858006.6516,302.696,1384.0,1518.652,1784584796488.0,3205.347
tc-35-0,1784584853401.2927,1784584854053,1784584856488.0,1784584858006.652,651.707,2435.0,1518.652,1784584796488.0,4605.359
tc-51-0,1784584853751.294,1784584854053,1784584856489.0,1784584858006.6526,301.706,2436.0,1517.653,1784584796489.0,4255.359
tc-50-0,1784584854201.294,1784584855104,1784584856489.0,1784584858006.6528,902.706,1385.0,1517.653,1784584796489.0,3805.359
tc-31-0,1784584853701.294,1784584854053,1784584856489.0,1784584858006.653,351.706,2436.0,1517.653,1784584796489.0,4305.359
tc-16-0,1784584855101.2932,1784584855104,1784584856489.0,1784584858006.6543,2.707,1385.0,1517.654,1784584796489.0,2905.361
tc-98-0,1784584847501.297,1784584847752,1784584856489.0,1784584858006.6545,250.703,8737.0,1517.655,1784584796489.0,10505.357
tc-14-0,1784584855301.2974,1784584856153,1784584856489.0,1784584858006.655,851.703,336.0,1517.655,1784584796489.0,2705.358
tc-21-0,1784584851751.2954,1784584851953,1784584856489.0,1784584858006.6553,201.705,4536.0,1517.655,1784584796489.0,6255.36
tc-2-0,1784584853901.2969,1784584854053,1784584856490.0,1784584858006.6555,151.703,2437.0,1516.656,1784584796490.0,4105.359
tc-39-0,1784584853851.3022,1784584854053,1784584856490.0,1784584858006.656,201.698,2437.0,1516.656,1784584796490.0,4155.354
tc-93-0,1784584851401.3008,1784584851953,1784584856490.0,1784584858006.6562,551.699,4537.0,1516.656,1784584796490.0,6605.355
tc-89-0,1784584855251.2998,1784584856153,1784584856490.0,1784584858006.6567,901.7,337.0,1516.657,1784584796490.0,2755.357
tc-34-0,1784584853651.287,1784584854053,1784584856490.0,1784584858006.6572,401.713,2437.0,1516.657,1784584796490.0,4355.37
tc-76-0,1784584855601.2888,1784584856153,1784584856490.0,1784584858006.8093,551.711,337.0,1516.809,1784584796490.0,2405.521
tc-88-0,1784584848151.3025,1784584848804,1784584856490.0,1784584858006.81,652.698,7686.0,1516.81,1784584796490.0,9855.508
tc-40-0,1784584849851.2903,1784584849853,1784584856490.0,1784584858006.8103,1.71,6637.0,1516.81,1784584796490.0,8155.52
tc-97-0,1784584854701.295,1784584855104,1784584856491.0,1784584858006.8113,402.705,1387.0,1515.811,1784584796491.0,3305.516
tc-85-0,1784584852201.2996,1784584853003,1784584856491.0,1784584858006.8118,801.7,3488.0,1515.812,1784584796491.0,5805.512
tc-5-0,1784584854851.2993,1784584855104,1784584856491.0,1784584858006.812,252.701,1387.0,1515.812,1784584796491.0,3155.513
tc-62-0,1784584849601.2979,1784584849853,1784584856491.0,1784584858006.8125,251.702,6638.0,1515.812,1784584796491.0,8405.515
tc-96-0,1784584851501.3025,1784584851953,1784584856491.0,1784584858006.8127,451.698,4538.0,1515.813,1784584796491.0,6505.51
tc-15-0,1784584852251.2856,1784584853003,1784584856491.0,1784584858006.8132,751.714,3488.0,1515.813,1784584796491.0,5755.528
tc-77-0,1784584849151.2947,1784584849853,1784584856491.0,1784584858006.8135,701.705,6638.0,1515.813,1784584796491.0,8855.519
tc-57-0,1784584854351.2937,1784584855104,1784584856491.0,1784584858006.8164,752.706,1387.0,1515.816,1784584796491.0,3655.523
tc-4-0,1784584855001.297,1784584855104,1784584856492.0,1784584858006.8167,102.703,1388.0,1514.817,1784584796492.0,3005.52
tc-6-0,1784584851651.3108,1784584851953,1784584856492.0,1784584858006.8193,301.689,4539.0,1514.819,1784584796492.0,6355.509
tc-10-0,1784584851351.2957,1784584851953,1784584856492.0,1784584858006.8198,601.704,4539.0,1514.82,1784584796492.0,6655.524
tc-43-0,1784584853301.296,1784584854053,1784584856492.0,1784584858006.82,751.704,2439.0,1514.82,1784584796492.0,4705.524
tc-71-0,1784584838351.2935,1784584846719,1784584856492.0,1784584858006.8206,8367.707,9773.0,1514.821,1784584796492.0,19655.527
tc-68-0,1784584846801.2952,1784584847752,1784584856492.0,1784584858006.821,950.705,8740.0,1514.821,1784584796492.0,11205.526
tc-99-0,1784584840351.3044,1784584846719,1784584856492.0,1784584858006.8237,6367.696,9773.0,1514.824,1784584796492.0,17655.519
tc-63-0,1784584852451.2769,1784584853003,1784584856492.0,1784584858006.824,551.723,3489.0,1514.824,1784584796492.0,5555.547
tc-79-0,1784584840001.2983,1784584846719,1784584856493.0,1784584858006.8245,6717.702,9774.0,1513.824,1784584796493.0,18005.526
tc-91-0,1784584855051.3064,1784584855104,1784584856493.0,1784584858006.8247,52.694,1389.0,1513.825,1784584796493.0,2955.518
tc-12-0,1784584839252.0625,1784584846719,1784584856493.0,1784584858006.8252,7466.938,9774.0,1513.825,1784584796493.0,18754.763
tc-24-0,1784584852701.3005,1784584853003,1784584856493.0,1784584858006.8254,301.699,3490.0,1513.825,1784584796493.0,5305.525
tc-13-0,1784584854401.2944,1784584855104,1784584856493.0,1784584858006.8257,702.706,1389.0,1513.826,1784584796493.0,3605.531
tc-87-0,1784584854551.2957,1784584855104,1784584856493.0,1784584858006.8262,552.704,1389.0,1513.826,1784584796493.0,3455.531
tc-73-0,1784584829151.3035,1784584846719,1784584856494.0,1784584858006.8264,17567.697,9775.0,1512.826,1784584796494.0,28855.523
tc-69-0,1784584842751.2954,1784584846719,1784584856494.0,1784584858006.827,3967.705,9775.0,1512.827,1784584796494.0,15255.531
tc-55-0,1784584830051.297,1784584846719,1784584856494.0,1784584858006.8271,16667.703,9775.0,1512.827,1784584796494.0,27955.53
tc-17-0,1784584852651.3147,1784584853003,1784584856494.0,1784584858006.8276,351.685,3491.0,1512.828,1784584796494.0,5355.513
tc-53-0,1784584851801.2942,1784584851953,1784584856494.0,1784584858006.828,151.706,4541.0,1512.828,1784584796494.0,6205.534
tc-8-0,1784584850301.2932,1784584850902,1784584856494.0,1784584858006.8281,600.707,5592.0,1512.828,1784584796494.0,7705.535
tc-83-0,1784584852001.298,1784584853003,1784584856494.0,1784584858006.8286,1001.702,3491.0,1512.829,1784584796494.0,6005.531
tc-46-0,1784584853451.3074,1784584854053,1784584856494.0,1784584858006.8289,601.693,2441.0,1512.829,1784584796494.0,4555.521
tc-28-0,1784584855551.294,1784584856153,1784584856495.0,1784584858006.8293,601.706,342.0,1511.829,1784584796495.0,2455.535
tc-72-0,1784584854951.2964,1784584855104,1784584856495.0,1784584858006.8296,152.704,1391.0,1511.83,1784584796495.0,3055.533
tc-11-0,1784584852851.296,1784584853003,1784584856495.0,1784584858006.8298,151.704,3492.0,1511.83,1784584796495.0,5155.534
tc-54-0,1784584851051.2922,1784584851953,1784584856495.0,1784584858006.83,901.708,4542.0,1511.83,1784584796495.0,6955.538
tc-7-0,1784584853351.2957,1784584854053,1784584856495.0,1784584858006.8306,701.704,2442.0,1511.831,1784584796495.0,4655.535
tc-52-60000,1784584885101.2993,1784584885553,1784584886656.0,1784584887010.0605,451.701,1103.0,354.061,1784584766656.0,1908.761
tc-7-60000,1784584874151.2974,1784584875054,1784584886657.0,1784584887010.0632,902.703,11603.0,353.063,1784584766657.0,12858.766
tc-35-60000,1784584883301.2861,1784584883453,1784584886657.0,1784584887010.064,151.714,3204.0,353.064,1784584766657.0,3708.778
tc-3-60000,1784584877551.294,1784584878204,1784584886657.0,1784584887011.7656,652.706,8453.0,354.766,1784584766657.0,9460.472
tc-63-60000,1784584880601.298,1784584881353,1784584886657.0,1784584887011.7666,751.702,5304.0,354.767,1784584766657.0,6410.469
tc-76-60000,1784584876501.2917,1784584877154,1784584886657.0,1784584887011.7668,652.708,9503.0,354.767,1784584766657.0,10510.475
tc-30-60000,1784584876251.2903,1784584877154,1784584886657.0,1784584887011.767,902.71,9503.0,354.767,1784584766657.0,10760.477
tc-65-60000,1784584880351.303,1784584881353,1784584886657.0,1784584887011.7673,1001.697,5304.0,354.767,1784584766657.0,6660.464
tc-27-60000,1784584885551.294,1784584885553,1784584886658.0,1784584887011.7676,1.706,1105.0,353.768,1784584766658.0,1460.474
tc-20-60000,1784584884901.2937,1784584885553,1784584886658.0,1784584887011.7698,651.706,1105.0,353.77,1784584766658.0,2110.476
tc-61-60000,1784584878601.2927,1784584879253,1784584886658.0,1784584887011.7703,651.707,7405.0,353.77,1784584766658.0,8410.478
tc-89-60000,1784584884701.3,1784584885553,1784584886658.0,1784584887011.7705,851.7,1105.0,353.771,1784584766658.0,2310.47
tc-90-60000,1784584879601.2903,1784584880303,1784584886658.0,1784584887011.7708,701.71,6355.0,353.771,1784584766658.0,7410.48
tc-69-60000,1784584881351.2969,1784584881353,1784584886658.0,1784584887011.771,1.703,5305.0,353.771,1784584766658.0,5660.474
tc-12-60000,1784584880951.3027,1784584881353,1784584886658.0,1784584887011.7715,401.697,5305.0,353.771,1784584766658.0,6060.469
tc-23-60000,1784584885201.2966,1784584885553,1784584886658.0,1784584887011.7717,351.703,1105.0,353.772,1784584766658.0,1810.475
tc-95-60000,1784584884151.311,1784584884503,1784584886659.0,1784584887011.772,351.689,2156.0,352.772,1784584766659.0,2860.461
tc-34-60000,1784584882451.2986,1784584883453,1784584886659.0,1784584887011.7722,1001.701,3206.0,352.772,1784584766659.0,4560.474
tc-87-60000,1784584875901.2983,1784584876103,1784584886659.0,1784584887011.7725,201.702,10556.0,352.772,1784584766659.0,11110.474
tc-82-60000,1784584882301.2925,1784584882403,1784584886659.0,1784584887011.773,101.708,4256.0,352.773,1784584766659.0,4710.48
tc-38-60000,1784584883251.2883,1784584883453,1784584886659.0,1784584887011.7732,201.712,3206.0,352.773,1784584766659.0,3760.485
tc-68-60000,1784584881551.2947,1784584882403,1784584886659.0,1784584887011.7734,851.705,4256.0,352.773,1784584766659.0,5460.479
tc-75-60000,1784584877901.2986,1784584878204,1784584886659.0,1784584887011.7737,302.701,8455.0,352.774,1784584766659.0,9110.475
tc-62-60000,1784584885401.298,1784584885553,1784584886659.0,1784584887011.774,151.702,1106.0,352.774,1784584766659.0,1610.476
tc-17-60000,1784584873251.3025,1784584874003,1784584886659.0,1784584887011.7742,751.698,12656.0,352.774,1784584766659.0,13760.472
tc-2-60000,1784584878901.307,1784584879253,1784584886660.0,1784584887011.7744,351.693,7407.0,351.774,1784584766660.0,8110.468
tc-84-60000,1784584883051.314,1784584883453,1784584886660.0,1784584887011.7747,401.686,3207.0,351.775,1784584766660.0,3960.461
tc-54-60000,1784584884951.3032,1784584885553,1784584886660.0,1784584887011.7751,601.697,1107.0,351.775,1784584766660.0,2060.472
tc-58-60000,1784584885001.2966,1784584885553,1784584886660.0,1784584887011.7754,551.703,1107.0,351.775,1784584766660.0,2010.479
tc-71-60000,1784584873751.2993,1784584874003,1784584886660.0,1784584887011.7756,251.701,12657.0,351.776,1784584766660.0,13260.476
tc-72-60000,1784584872801.3154,1784584872953,1784584886660.0,1784584887011.776,151.685,13707.0,351.776,1784584766660.0,14210.46
tc-49-60000,1784584885351.2964,1784584885553,1784584886660.0,1784584887011.7761,201.704,1107.0,351.776,1784584766660.0,1660.48
tc-66-60000,1784584882751.2893,1784584883453,1784584886660.0,1784584887011.7764,701.711,3207.0,351.776,1784584766660.0,4260.487
tc-18-60000,1784584883851.288,1784584884503,1784584886660.0,1784584887011.7766,651.712,2157.0,351.777,1784584766660.0,3160.489
tc-16-60000,1784584878651.288,1784584879253,1784584886661.0,1784584887011.7769,601.712,7408.0,350.777,1784584766661.0,8360.489
tc-73-60000,1784584884101.3018,1784584884503,1784584886661.0,1784584887011.7803,401.698,2158.0,350.78,1784584766661.0,2910.479
tc-93-60000,1784584882951.302,1784584883453,1784584886661.0,1784584887011.7805,501.698,3208.0,350.781,1784584766661.0,4060.479
tc-45-60000,1784584865451.304,1784584865603,1784584886661.0,1784584887011.7808,151.696,21058.0,350.781,1784584766661.0,21560.477
tc-11-60000,1784584879751.295,1784584880303,1784584886661.0,1784584887011.781,551.705,6358.0,350.781,1784584766661.0,7260.486
tc-5-60000,1784584877601.2947,1784584878204,1784584886661.0,1784584887011.7812,602.705,8457.0,350.781,1784584766661.0,9410.487
tc-43-60000,1784584864151.2937,1784584864554,1784584886661.0,1784584887011.7815,402.706,22107.0,350.781,1784584766661.0,22860.488
tc-4-60000,1784584883551.289,1784584884503,1784584886661.0,1784584887011.7817,951.711,2158.0,350.782,1784584766661.0,3460.493
tc-44-60000,1784584885701.2886,1784584886603,1784584886661.0,1784584887011.782,901.711,58.0,350.782,1784584766661.0,1310.493
tc-22-60000,1784584871851.2915,1784584871904,1784584886661.0,1784584887011.7822,52.708,14757.0,350.782,1784584766661.0,15160.491
tc-9-60000,1784584877201.2942,1784584878204,1784584886661.0,1784584887011.7825,1002.706,8457.0,350.782,1784584766661.0,9810.488
tc-40-60000,1784584878801.307,1784584879253,1784584886662.0,1784584887011.7827,451.693,7409.0,349.783,1784584766662.0,8210.476
tc-91-60000,1784584885601.2961,1784584886603,1784584886662.0,1784584887011.783,1001.704,59.0,349.783,1784584766662.0,1410.487
tc-57-60000,1784584881901.2986,1784584882403,1784584886662.0,1784584887011.7832,501.701,4259.0,349.783,1784584766662.0,5110.485
tc-36-60000,1784584879951.297,1784584880303,1784584886662.0,1784584887011.7917,351.703,6359.0,349.792,1784584766662.0,7060.495
tc-74-60000,1784584872101.3062,1784584872953,1784584886662.0,1784584887011.7927,851.694,13709.0,349.793,1784584766662.0,14910.487
tc-14-60000,1784584880651.2969,1784584881353,1784584886662.0,1784584887011.793,701.703,5309.0,349.793,1784584766662.0,6360.496
tc-46-60000,1784584877951.2944,1784584878204,1784584886662.0,1784584887011.793,252.706,8458.0,349.793,1784584766662.0,9060.499
tc-21-60000,1784584883001.315,1784584883453,1784584886662.0,1784584887011.7932,451.685,3209.0,349.793,1784584766662.0,4010.478
tc-39-60000,1784584877051.2988,1784584877154,1784584886662.0,1784584887011.7935,102.701,9508.0,349.793,1784584766662.0,9960.495
tc-83-60000,1784584885251.2844,1784584885553,1784584886662.0,1784584887011.7937,301.716,1109.0,349.794,1784584766662.0,1760.509
tc-19-60000,1784584883151.3022,1784584883453,1784584886663.0,1784584887011.794,301.698,3210.0,348.794,1784584766663.0,3860.492
tc-88-60000,1784584882101.295,1784584882403,1784584886663.0,1784584887011.7942,301.705,4260.0,348.794,1784584766663.0,4910.499
tc-1-60000,1784584874401.2993,1784584875054,1784584886663.0,1784584887011.7944,652.701,11609.0,348.794,1784584766663.0,12610.495
tc-99-60000,1784584885301.2925,1784584885553,1784584886663.0,1784584887011.7947,251.708,1110.0,348.795,1784584766663.0,1710.502
tc-29-60000,1784584884451.2947,1784584884503,1784584886663.0,1784584887011.795,51.705,2160.0,348.795,1784584766663.0,2560.5
tc-81-60000,1784584880701.2964,1784584881353,1784584886663.0,1784584887011.7952,651.704,5310.0,348.795,1784584766663.0,6310.499
tc-96-60000,1784584882501.299,1784584883453,1784584886663.0,1784584887011.796,951.701,3210.0,348.796,1784584766663.0,4510.497
tc-42-60000,1784584882251.3142,1784584882403,1784584886663.0,1784584887011.7961,151.686,4260.0,348.796,1784584766663.0,4760.482
tc-77-60000,1784584883901.3005,1784584884503,1784584886663.0,1784584887011.7964,601.699,2160.0,348.796,1784584766663.0,3110.496
tc-8-60000,1784584877851.296,1784584878204,1784584886663.0,1784584887011.7966,352.704,8459.0,348.797,1784584766663.0,9160.501
tc-51-60000,1784584884801.2983,1784584885553,1784584886663.0,1784584887011.7966,751.702,1110.0,348.797,1784584766663.0,2210.498
tc-80-60000,1784584883751.2925,1784584884503,1784584886664.0,1784584887011.7996,751.708,2161.0,347.8,1784584766664.0,3260.507
tc-94-60000,1784584884001.2883,1784584884503,1784584886664.0,1784584887011.8018,501.712,2161.0,347.802,1784584766664.0,3010.513
tc-41-60000,1784584882851.2954,1784584883453,1784584886664.0,1784584887011.804,601.705,3211.0,347.804,1784584766664.0,4160.509
tc-60-60000,1784584879251.295,1784584879253,1784584886664.0,1784584887011.8044,1.705,7411.0,347.804,1784584766664.0,7760.51
tc-6-60000,1784584875751.3093,1784584876103,1784584886664.0,1784584887011.8047,351.691,10561.0,347.805,1784584766664.0,11260.495
tc-55-60000,1784584884601.298,1784584885553,1784584886664.0,1784584887011.807,951.702,1111.0,347.807,1784584766664.0,2410.509
tc-48-60000,1784584876551.294,1784584877154,1784584886664.0,1784584887011.809,602.706,9510.0,347.809,1784584766664.0,10460.515
tc-97-60000,1784584871751.2903,1784584871904,1784584886664.0,1784584887011.8096,152.71,14760.0,347.81,1784584766664.0,15260.519
tc-15-60000,1784584884551.2917,1784584885553,1784584886664.0,1784584887011.8098,1001.708,1111.0,347.81,1784584766664.0,2460.518
tc-10-60000,1784584880751.2983,1784584881353,1784584886664.0,1784584887011.8098,601.702,5311.0,347.81,1784584766664.0,6260.511
tc-13-60000,1784584885453.4011,1784584885553,1784584886665.0,1784584887011.81,99.599,1112.0,346.81,1784584766665.0,1558.409
tc-24-60000,1784584882901.3042,1784584883453,1784584886665.0,1784584887011.8103,551.696,3212.0,346.81,1784584766665.0,4110.506
tc-50-60000,1784584881001.2964,1784584881353,1784584886665.0,1784584887011.8105,351.704,5312.0,346.811,1784584766665.0,6010.514
tc-92-60000,1784584884301.309,1784584884503,1784584886665.0,1784584887011.8108,201.691,2162.0,346.811,1784584766665.0,2710.502
